Fecha,Descripcion,Monto
2024-01-15,Deposito Salario,3500.00
2024-01-14,Supermercado Jumbo,-85.50
2024-01-13,Estacion de Servicio Copec,-45.20
2024-01-12,Netflix Suscripcion,-15.99
2024-01-11,Restaurante,-67.80
2024-01-10,Transferencia Recibida,250.00
2024-01-09,Farmacia Cruz Verde,-23.45
2024-01-08,Uber,-18.50
2024-01-07,Compra Online Amazon,-129.99
2024-01-06,Pago Electricidad,-89.70
2024-01-05,Retiro Cajero ATM,-100.00
2024-01-04,Deposito Freelance,800.00
2024-01-03,Supermercado Lider,-112.30
2024-01-02,Starbucks,-8.50
2024-01-01,Transferencia a Ahorros,-500.00
2023-12-31,Cine Hoyts,-24.00
2023-12-30,Gasolina Shell,-52.30
2023-12-29,Compra Ropa,-156.80
2023-12-28,Dividendo Inversion,45.60
2023-12-27,Pago Agua,-34.20